Year,Age20_24,Age25_34,Age35_44,Age45_54,Age55
1969,0.936363636,1.35,0.725,0.541666667,0.466666667
1970,-2.566666667,-1.458333333,-1.008333333,-0.925,-0.866666667
1971,-1.766666667,-1.025,-0.691666667,-0.541666667,-0.475
1972,0.683333333,0.658333333,0.358333333,0.383333333,0.041666667
1973,1.491666667,0.358333333,0.783333333,0.5,0.641666667
1974,-1.308333333,-0.575,-0.641666667,-0.408333333,-0.283333333
1975,-4.441666667,-2.966666667,-2.266666667,-2.35,-1.8
1976,1.591666667,0.733333333,0.741666667,0.808333333,0.158333333
1977,1.041666667,0.608333333,0.533333333,0.525,0.491666667
1978,1.325,1.133333333,0.666666667,0.666666667,0.941666667
1979,0.466666667,0.158333333,0.116666667,0.066666667,0.15
1980,-2.4,-1.808333333,-1.041666667,-0.825,-0.3
1981,-0.708333333,-0.316666667,-0.4,-0.191666667,-0.291666667
1982,-2.641666667,-2.5,-1.916666667,-1.533333333,-1.416666667
1983,0.408333333,0.133333333,-0.058333333,-0.425,-0.225
1984,3.05,2.416666667,1.633333333,1.308333333,0.808333333
1985,0.391666667,0.25,0.208333333,0.15,0.333333333
1986,0.375,0.066666667,0.1,0.233333333,0.216666667
1987,1.033333333,0.9,0.541666667,0.5,0.6
1988,0.966666667,0.591666667,0.558333333,0.541666667,0.225
1989,0.075,0.283333333,0.166666667,0.258333333,4.63E-18
1990,-0.258333333,-0.408333333,-0.366666667,-0.383333333,-0.2
1991,-1.966666667,-1.35,-1.033333333,-1,-0.675
1992,-0.483333333,-0.733333333,-0.641666667,-0.591666667,-0.866666667
1993,0.791666667,0.741666667,0.35,0.341666667,0.475
1994,0.816666667,0.916666667,0.866666667,0.825,0.233333333
1995,0.608333333,0.583333333,0.266666667,0.616666667,0.4
1996,-0.15,0.208333333,0.233333333,0.016666667,0.266666667
1997,0.733333333,0.508333333,0.316666667,0.341666667,0.416666667
1998,0.625,0.358333333,0.433333333,0.258333333,0.291666667
1999,0.416666667,0.358333333,0.316666667,0.191666667,-0.058333333
2000,0.325,0.275,0.033333333,0.108333333,0.183333333
2001,-1.183333333,-0.975,-0.65,-0.658333333,-0.433333333
2002,-1.341666667,-1.2,-0.941666667,-0.925,-0.816666667
2003,-0.325,-0.2,-0.341666667,-0.05,-0.216666667
2004,0.583333333,0.558333333,0.583333333,0.258333333,0.316666667
2005,0.616666667,0.375,0.491666667,0.35,0.383333333
2006,0.641666667,0.475,0.291666667,0.375,0.4
2007,-0.041666667,0.008333333,0.125,-0.075,-0.183333333
2008,-2,-1.225,-1.15,-0.933333333,-0.683333333
2009,-4.558333333,-4.008333333,-3.383333333,-3.066666667,-2.766666667
2010,-0.75,-0.158333333,-0.1,-0.516666667,-0.425
2011,0.875,0.591666667,0.766666667,0.658333333,0.408333333
2012,1.35,1.216666667,0.741666667,0.808333333,0.575
2013,0.5,0.808333333,0.7,0.575,0.691666667
2014,1.625,0.916666667,1.133333333,1.25,0.933333333
2015,1.483333333,1.008333333,0.6,0.683333333,0.625
2016,1.258333333,0.441666667,0.308333333,0.208333333,0.15
2017,1.041666667,0.491666667,0.391666667,0.341666667,0.4
2018,0.45,0.608333333,0.458333333,0.358333333,0.25
2019,0.2,0.25,0.258333333,0.1,0.291666667
2020,-7.225,-4.766666667,-3.725,-3.666666667,-4.3
2021,5.008333333,2.758333333,1.85,2.225,2.716666667
2022,1.941666667,1.833333333,1.675,1.725,1.608333333
2023,0.475,0.05,0.225,-0.0375,0.2375
